Topic,Time,Throughput,FileId
topic_priority,08:40:25.229,0,log-1
topic_priority,08:40:45.227,21,log-1
topic_priority,08:41:05.234,41,log-1
topic_priority,08:41:25.240,36,log-1
topic_priority,08:41:45.233,35,log-1
topic_priority,08:42:05.235,34,log-1
topic_priority,08:42:25.238,30,log-1
topic_normal,08:40:25.237,0,log-1
topic_normal,08:40:45.227,7,log-1
topic_normal,08:41:05.234,16,log-1
topic_normal,08:41:25.240,14,log-1
topic_normal,08:41:45.233,16,log-1
topic_normal,08:42:05.235,14,log-1
topic_normal,08:42:25.238,12,log-1
topic_normal,08:42:45.236,12,log-1
topic_normal,08:43:05.231,12,log-1
topic_normal,08:43:25.236,14,log-1
topic_normal,08:43:45.245,14,log-1
topic_normal,08:44:05.248,16,log-1
topic_normal,08:44:25.244,13,log-1
topic_normal,08:44:45.245,14,log-1
topic_normal,08:45:05.244,16,log-1
topic_normal,08:45:25.246,17,log-1
topic_normal,08:45:45.254,15,log-1
topic_normal,08:46:05.250,15,log-1
topic_normal,08:46:25.259,17,log-1
topic_normal,08:46:45.259,15,log-1
topic_normal,08:47:05.272,16,log-1
topic_normal,08:47:25.273,16,log-1
topic_normal,08:47:45.275,15,log-1
topic_normal,08:48:05.274,19,log-1
topic_normal,08:48:25.277,19,log-1
topic_normal,08:48:45.280,22,log-1
topic_normal,08:49:05.280,21,log-1
topic_normal,08:49:25.288,18,log-1
topic_normal,08:49:45.292,19,log-1
topic_normal,08:50:05.293,22,log-1
topic_priority,08:40:25.909,0,log-2
topic_priority,08:40:45.907,13,log-2
topic_priority,08:41:05.916,33,log-2
topic_priority,08:41:25.920,32,log-2
topic_priority,08:41:45.915,33,log-2
topic_priority,08:42:05.912,37,log-2
topic_priority,08:42:25.918,35,log-2
topic_normal,08:40:25.917,0,log-2
topic_normal,08:40:45.907,7,log-2
topic_normal,08:41:05.916,14,log-2
topic_normal,08:41:25.920,10,log-2
topic_normal,08:41:45.915,14,log-2
topic_normal,08:42:05.912,16,log-2
topic_normal,08:42:25.918,10,log-2
topic_normal,08:42:45.918,15,log-2
topic_normal,08:43:05.914,10,log-2
topic_normal,08:43:25.917,22,log-2
topic_normal,08:43:45.928,15,log-2
topic_normal,08:44:05.926,17,log-2
topic_normal,08:44:25.926,21,log-2
topic_normal,08:44:45.924,13,log-2
topic_normal,08:45:05.924,24,log-2
topic_normal,08:45:25.923,22,log-2
topic_normal,08:45:45.931,26,log-2
topic_normal,08:46:05.937,20,log-2
topic_normal,08:46:25.936,24,log-2
topic_normal,08:46:45.929,22,log-2
topic_normal,08:47:05.943,21,log-2
topic_normal,08:47:25.941,24,log-2
topic_normal,08:47:45.946,22,log-2
topic_normal,08:48:05.943,28,log-2
topic_normal,08:48:25.941,29,log-2
topic_normal,08:48:45.942,33,log-2
topic_normal,08:49:05.943,33,log-2
topic_normal,08:49:25.947,29,log-2
topic_normal,08:49:45.951,36,log-2
topic_normal,08:50:05.955,38,log-2
topic_priority,08:40:26.039,0,log-3
topic_priority,08:40:46.037,14,log-3
topic_priority,08:41:06.042,32,log-3
topic_priority,08:41:26.042,31,log-3
topic_priority,08:41:46.047,34,log-3
topic_priority,08:42:06.044,37,log-3
topic_priority,08:42:26.048,37,log-3
topic_normal,08:40:26.046,0,log-3
topic_normal,08:40:46.037,7,log-3
topic_normal,08:41:06.043,14,log-3
topic_normal,08:41:26.042,11,log-3
topic_normal,08:41:46.047,13,log-3
topic_normal,08:42:06.044,18,log-3
topic_normal,08:42:26.048,8,log-3
topic_normal,08:42:46.050,17,log-3
topic_normal,08:43:06.045,12,log-3
topic_normal,08:43:26.053,22,log-3
topic_normal,08:43:46.059,17,log-3
topic_normal,08:44:06.055,18,log-3
topic_normal,08:44:26.057,21,log-3
topic_normal,08:44:46.055,17,log-3
topic_normal,08:45:06.054,24,log-3
topic_normal,08:45:26.064,22,log-3
topic_normal,08:45:46.063,22,log-3
topic_normal,08:46:06.066,21,log-3
topic_normal,08:46:26.060,24,log-3
topic_normal,08:46:46.061,26,log-3
topic_normal,08:47:06.074,22,log-3
topic_normal,08:47:26.077,27,log-3
topic_normal,08:47:46.077,29,log-3
topic_normal,08:48:06.071,28,log-3
topic_normal,08:48:26.072,29,log-3
topic_normal,08:48:46.074,35,log-3
topic_normal,08:49:06.073,34,log-3
topic_normal,08:49:26.081,30,log-3
topic_normal,08:49:46.084,30,log-3
topic_normal,08:50:06.085,43,log-3
topic_priority,08:40:25.727,0,log-4
topic_priority,08:40:45.725,19,log-4
topic_priority,08:41:05.732,39,log-4
topic_priority,08:41:25.734,35,log-4
topic_priority,08:41:45.736,38,log-4
topic_priority,08:42:05.732,32,log-4
topic_priority,08:42:25.732,33,log-4
topic_normal,08:40:25.736,0,log-4
topic_normal,08:40:45.725,9,log-4
topic_normal,08:41:05.732,14,log-4
topic_normal,08:41:25.734,12,log-4
topic_normal,08:41:45.736,14,log-4
topic_normal,08:42:05.732,15,log-4
topic_normal,08:42:25.732,9,log-4
topic_normal,08:42:45.733,12,log-4
topic_normal,08:43:05.737,8,log-4
topic_normal,08:43:25.737,16,log-4
topic_normal,08:43:45.748,11,log-4
topic_normal,08:44:05.747,12,log-4
topic_normal,08:44:25.749,14,log-4
topic_normal,08:44:45.742,13,log-4
topic_normal,08:45:05.746,15,log-4
topic_normal,08:45:25.742,14,log-4
topic_normal,08:45:45.752,15,log-4
topic_normal,08:46:05.751,15,log-4
topic_normal,08:46:25.757,19,log-4
topic_normal,08:46:45.750,14,log-4
topic_normal,08:47:05.764,15,log-4
topic_normal,08:47:25.768,14,log-4
topic_normal,08:47:45.766,15,log-4
topic_normal,08:48:05.761,17,log-4
topic_normal,08:48:25.761,21,log-4
topic_normal,08:48:45.762,21,log-4
topic_normal,08:49:05.764,20,log-4
topic_normal,08:49:25.760,17,log-4
topic_normal,08:49:45.773,19,log-4
topic_normal,08:50:05.762,22,log-4
