Port,Time,Utilization,FileId
9813,09:31:21.101,4.0,log-1
9813,09:31:21.114,4.0,log-1
9813,09:32:48.331,5.0,log-1
9813,09:34:08.857,6.0,log-1
9813,09:34:09.535,6.0,log-1
9813,09:35:23.076,7.0,log-1
9813,09:36:15.984,8.0,log-1
9813,09:36:16.937,8.0,log-1
9813,09:37:12.244,9.0,log-1
5978,09:29:47.092,2.0,log-2
5978,09:29:47.093,2.0,log-2
5978,09:31:14.883,4.0,log-2
5978,09:31:15.426,4.0,log-2
5978,09:32:32.263,5.0,log-2
5978,09:32:32.861,5.0,log-2
5978,09:33:59.453,6.0,log-2
5978,09:35:05.707,7.0,log-2
5978,09:35:06.408,7.0,log-2
5978,09:36:08.053,8.0,log-2
5978,09:37:06.473,9.0,log-2
5978,09:38:19.687,11.0,log-2
5093,09:30:18.646,3.0,log-3
5093,09:32:15.981,5.0,log-3
5093,09:32:16.696,5.0,log-3
5093,09:33:34.672,6.0,log-3
5093,09:35:59.287,8.0,log-3
5093,09:35:59.963,8.0,log-3
7073,09:30:18.345,3.0,log-4
7073,09:32:19.481,5.0,log-4
7073,09:33:38.188,6.0,log-4
7073,09:33:38.447,6.0,log-4
7073,09:34:48.774,7.0,log-4
7073,09:36:48.879,9.0,log-4
7073,09:36:49.230,9.0,log-4
7073,09:36:49.923,9.0,log-4
7073,09:38:21.291,11.0,log-4
7073,09:39:10.339,12.0,log-4
7073,09:39:10.885,12.0,log-4
7073,09:39:11.118,12.0,log-4
