Topic,Time,Throughput,FileId
topic_priority,12:21:10.275,0,log-1
topic_priority,12:21:30.265,12,log-1
topic_priority,12:21:50.274,24,log-1
topic_priority,12:22:10.271,12,log-1
topic_priority,12:22:30.278,14,log-1
topic_priority,12:22:50.275,12,log-1
topic_priority,12:23:10.278,5,log-1
topic_priority,12:23:30.279,7,log-1
topic_priority,12:23:50.278,8,log-1
topic_priority,12:24:10.278,8,log-1
topic_priority,12:24:30.268,3,log-1
topic_priority,12:24:50.274,5,log-1
topic_priority,12:25:10.269,6,log-1
topic_priority,12:25:30.272,5,log-1
topic_priority,12:25:50.281,2,log-1
topic_priority,12:26:10.281,3,log-1
topic_priority,12:26:30.278,1,log-1
topic_priority,12:26:50.278,0,log-1
topic_priority,12:27:10.281,0,log-1
topic_priority,12:27:30.286,0,log-1
topic_priority,12:27:50.291,0,log-1
topic_priority,12:28:10.290,0,log-1
topic_priority,12:28:30.298,0,log-1
topic_priority,12:28:50.296,0,log-1
topic_priority,12:29:10.303,0,log-1
topic_priority,12:29:30.299,0,log-1
topic_priority,12:29:50.302,0,log-1
topic_priority,12:30:10.300,0,log-1
topic_normal,12:21:10.286,0,log-1
topic_normal,12:21:30.265,8,log-1
topic_normal,12:21:50.275,9,log-1
topic_normal,12:22:10.271,9,log-1
topic_normal,12:22:30.278,7,log-1
topic_normal,12:22:50.275,6,log-1
topic_normal,12:23:10.278,2,log-1
topic_normal,12:23:30.279,8,log-1
topic_normal,12:23:50.278,5,log-1
topic_normal,12:24:10.278,3,log-1
topic_normal,12:24:30.268,2,log-1
topic_normal,12:24:50.274,3,log-1
topic_normal,12:25:10.269,6,log-1
topic_normal,12:25:30.272,1,log-1
topic_normal,12:25:50.281,1,log-1
topic_normal,12:26:10.282,0,log-1
topic_normal,12:26:30.278,10,log-1
topic_normal,12:26:50.278,0,log-1
topic_normal,12:27:10.281,0,log-1
topic_normal,12:27:30.286,0,log-1
topic_normal,12:27:50.292,0,log-1
topic_normal,12:28:10.290,0,log-1
topic_normal,12:28:30.299,0,log-1
topic_normal,12:28:50.296,0,log-1
topic_normal,12:29:10.303,0,log-1
topic_normal,12:29:30.299,0,log-1
topic_normal,12:29:50.302,0,log-1
topic_normal,12:30:10.300,0,log-1
topic_priority,12:21:10.811,0,log-2
topic_priority,12:21:30.795,13,log-2
topic_priority,12:21:50.800,14,log-2
topic_priority,12:22:10.804,9,log-2
topic_priority,12:22:30.807,10,log-2
topic_priority,12:22:50.806,7,log-2
topic_priority,12:23:10.809,4,log-2
topic_priority,12:23:30.809,5,log-2
topic_priority,12:23:50.805,6,log-2
topic_priority,12:24:10.805,4,log-2
topic_priority,12:24:30.801,4,log-2
topic_priority,12:24:50.799,2,log-2
topic_priority,12:25:10.799,4,log-2
topic_priority,12:25:30.801,4,log-2
topic_priority,12:25:50.808,1,log-2
topic_priority,12:26:10.806,1,log-2
topic_priority,12:26:30.810,2,log-2
topic_priority,12:26:50.807,0,log-2
topic_priority,12:27:10.806,0,log-2
topic_priority,12:27:30.812,0,log-2
topic_priority,12:27:50.809,0,log-2
topic_priority,12:28:10.809,0,log-2
topic_priority,12:28:30.816,0,log-2
topic_priority,12:28:50.816,0,log-2
topic_priority,12:29:10.821,0,log-2
topic_priority,12:29:30.818,0,log-2
topic_priority,12:29:50.821,0,log-2
topic_priority,12:30:10.819,0,log-2
topic_normal,12:21:10.821,0,log-2
topic_normal,12:21:30.795,9,log-2
topic_normal,12:21:50.800,8,log-2
topic_normal,12:22:10.804,8,log-2
topic_normal,12:22:30.807,13,log-2
topic_normal,12:22:50.806,7,log-2
topic_normal,12:23:10.809,6,log-2
topic_normal,12:23:30.809,4,log-2
topic_normal,12:23:50.805,10,log-2
topic_normal,12:24:10.805,6,log-2
topic_normal,12:24:30.801,6,log-2
topic_normal,12:24:50.799,5,log-2
topic_normal,12:25:10.799,8,log-2
topic_normal,12:25:30.801,6,log-2
topic_normal,12:25:50.808,4,log-2
topic_normal,12:26:10.806,3,log-2
topic_normal,12:26:30.810,8,log-2
topic_normal,12:26:50.807,0,log-2
topic_normal,12:27:10.806,0,log-2
topic_normal,12:27:30.812,0,log-2
topic_normal,12:27:50.810,0,log-2
topic_normal,12:28:10.809,0,log-2
topic_normal,12:28:30.817,0,log-2
topic_normal,12:28:50.816,0,log-2
topic_normal,12:29:10.821,0,log-2
topic_normal,12:29:30.818,0,log-2
topic_normal,12:29:50.821,0,log-2
topic_normal,12:30:10.819,0,log-2
topic_priority,12:21:10.798,0,log-3
topic_priority,12:21:30.784,15,log-3
topic_priority,12:21:50.797,22,log-3
topic_priority,12:22:10.793,9,log-3
topic_priority,12:22:30.797,12,log-3
topic_priority,12:22:50.794,13,log-3
topic_priority,12:23:10.792,4,log-3
topic_priority,12:23:30.798,5,log-3
topic_priority,12:23:50.800,7,log-3
topic_priority,12:24:10.795,7,log-3
topic_priority,12:24:30.790,4,log-3
topic_priority,12:24:50.791,4,log-3
topic_priority,12:25:10.792,4,log-3
topic_priority,12:25:30.792,6,log-3
topic_priority,12:25:50.798,3,log-3
topic_priority,12:26:10.804,1,log-3
topic_priority,12:26:30.808,0,log-3
topic_priority,12:26:50.808,0,log-3
topic_priority,12:27:10.807,0,log-3
topic_priority,12:27:30.806,0,log-3
topic_priority,12:27:50.807,0,log-3
topic_priority,12:28:10.813,0,log-3
topic_priority,12:28:30.820,0,log-3
topic_priority,12:28:50.818,0,log-3
topic_priority,12:29:10.816,0,log-3
topic_priority,12:29:30.819,0,log-3
topic_priority,12:29:50.822,0,log-3
topic_priority,12:30:10.820,0,log-3
topic_normal,12:21:10.806,0,log-3
topic_normal,12:21:30.784,11,log-3
topic_normal,12:21:50.798,12,log-3
topic_normal,12:22:10.793,8,log-3
topic_normal,12:22:30.797,9,log-3
topic_normal,12:22:50.795,9,log-3
topic_normal,12:23:10.792,4,log-3
topic_normal,12:23:30.798,6,log-3
topic_normal,12:23:50.800,8,log-3
topic_normal,12:24:10.795,8,log-3
topic_normal,12:24:30.790,4,log-3
topic_normal,12:24:50.791,5,log-3
topic_normal,12:25:10.792,8,log-3
topic_normal,12:25:30.792,6,log-3
topic_normal,12:25:50.798,4,log-3
topic_normal,12:26:10.804,3,log-3
topic_normal,12:26:30.808,6,log-3
topic_normal,12:26:50.808,0,log-3
topic_normal,12:27:10.807,0,log-3
topic_normal,12:27:30.806,0,log-3
topic_normal,12:27:50.807,0,log-3
topic_normal,12:28:10.813,0,log-3
topic_normal,12:28:30.820,0,log-3
topic_normal,12:28:50.818,0,log-3
topic_normal,12:29:10.817,0,log-3
topic_normal,12:29:30.819,0,log-3
topic_normal,12:29:50.822,0,log-3
topic_normal,12:30:10.821,0,log-3
topic_priority,12:21:10.289,0,log-4
topic_priority,12:21:30.282,12,log-4
topic_priority,12:21:50.294,24,log-4
topic_priority,12:22:10.290,10,log-4
topic_priority,12:22:30.299,12,log-4
topic_priority,12:22:50.297,12,log-4
topic_priority,12:23:10.293,4,log-4
topic_priority,12:23:30.298,6,log-4
topic_priority,12:23:50.297,7,log-4
topic_priority,12:24:10.302,7,log-4
topic_priority,12:24:30.291,3,log-4
topic_priority,12:24:50.294,5,log-4
topic_priority,12:25:10.288,4,log-4
topic_priority,12:25:30.288,5,log-4
topic_priority,12:25:50.302,4,log-4
topic_priority,12:26:10.297,1,log-4
topic_priority,12:26:30.297,1,log-4
topic_priority,12:26:50.296,0,log-4
topic_priority,12:27:10.301,0,log-4
topic_priority,12:27:30.303,0,log-4
topic_priority,12:27:50.300,0,log-4
topic_priority,12:28:10.301,0,log-4
topic_priority,12:28:30.310,0,log-4
topic_priority,12:28:50.308,0,log-4
topic_priority,12:29:10.307,0,log-4
topic_priority,12:29:30.312,0,log-4
topic_priority,12:29:50.310,0,log-4
topic_priority,12:30:10.309,0,log-4
topic_normal,12:21:10.299,0,log-4
topic_normal,12:21:30.282,8,log-4
topic_normal,12:21:50.294,9,log-4
topic_normal,12:22:10.290,7,log-4
topic_normal,12:22:30.299,7,log-4
topic_normal,12:22:50.297,4,log-4
topic_normal,12:23:10.293,4,log-4
topic_normal,12:23:30.299,4,log-4
topic_normal,12:23:50.297,5,log-4
topic_normal,12:24:10.302,3,log-4
topic_normal,12:24:30.291,4,log-4
topic_normal,12:24:50.294,1,log-4
topic_normal,12:25:10.288,4,log-4
topic_normal,12:25:30.288,3,log-4
topic_normal,12:25:50.302,1,log-4
topic_normal,12:26:10.297,0,log-4
topic_normal,12:26:30.297,6,log-4
topic_normal,12:26:50.296,0,log-4
topic_normal,12:27:10.301,0,log-4
topic_normal,12:27:30.303,0,log-4
topic_normal,12:27:50.300,0,log-4
topic_normal,12:28:10.301,0,log-4
topic_normal,12:28:30.310,0,log-4
topic_normal,12:28:50.308,0,log-4
topic_normal,12:29:10.307,0,log-4
topic_normal,12:29:30.312,0,log-4
topic_normal,12:29:50.310,0,log-4
topic_normal,12:30:10.309,0,log-4
