Topic,Latency,FileId
topic_priority,702.4542,log-1
topic_priority,874.7842,log-1
topic_normal,9.3705,log-1
topic_normal,10.3478,log-1
topic_priority,1002.6358,log-1
topic_normal,9.0471,log-1
topic_priority,9.3219,log-1
topic_priority,9.2941,log-1
topic_normal,9.6008,log-1
topic_normal,8.8929,log-1
topic_priority,7.5575,log-1
topic_priority,9.0006,log-1
topic_priority,10.9727,log-1
topic_priority,8.9475,log-1
topic_normal,9.6672,log-1
topic_normal,7.2145,log-1
topic_priority,8.4361,log-1
topic_priority,8.3542,log-1
topic_normal,7.9552,log-1
topic_priority,8.1377,log-1
topic_priority,8.5146,log-1
topic_normal,8.0361,log-1
topic_normal,10.0843,log-1
topic_priority,9.0196,log-1
topic_priority,9.4358,log-1
topic_priority,8.5908,log-1
topic_priority,8.7027,log-1
topic_priority,8.5763,log-1
topic_normal,10.0828,log-1
topic_normal,10.0284,log-1
topic_priority,9.0092,log-1
topic_priority,7.2619,log-1
topic_priority,7.5378,log-1
topic_priority,8.7666,log-1
topic_normal,9.0959,log-1
topic_priority,8.7287,log-1
topic_normal,8.857,log-1
topic_priority,7.5623,log-1
topic_priority,7.5355,log-1
topic_priority,9.1605,log-1
topic_normal,7.8013,log-1
topic_priority,7.8992,log-1
topic_normal,7.8294,log-1
topic_normal,9.4118,log-1
topic_priority,9.482,log-1
topic_priority,7.649,log-1
topic_priority,8.0474,log-1
topic_priority,7.9711,log-1
topic_priority,13.9533,log-1
topic_normal,7.9287,log-1
topic_priority,7.3766,log-1
topic_normal,8.4953,log-1
topic_priority,8.1918,log-1
topic_priority,14.1434,log-1
topic_priority,8.1869,log-1
topic_priority,7.3543,log-1
topic_priority,7.5944,log-1
topic_normal,8.0644,log-1
topic_normal,9.9966,log-1
topic_priority,7.8901,log-1
topic_priority,7.8242,log-1
topic_priority,7.7798,log-1
topic_normal,7.4802,log-1
topic_priority,9.6741,log-1
topic_normal,9.31,log-1
topic_normal,7.488,log-1
topic_priority,7.9317,log-1
topic_priority,8.2049,log-1
topic_priority,8.4813,log-1
topic_priority,8.761,log-1
topic_normal,9.0025,log-1
topic_priority,8.7154,log-1
topic_normal,7.249,log-1
topic_priority,7.9988,log-1
topic_priority,8.1854,log-1
topic_priority,10.7025,log-1
topic_normal,9.384,log-1
topic_priority,8.3519,log-1
topic_normal,8.6438,log-1
topic_priority,9.4006,log-1
topic_priority,8.5563,log-1
topic_priority,9.7981,log-1
topic_normal,13.8902,log-1
topic_priority,8.1022,log-1
topic_normal,9.4107,log-1
topic_priority,7.8013,log-1
topic_priority,8.7109,log-1
topic_normal,8.5381,log-1
topic_priority,8.327,log-1
topic_normal,8.6729,log-1
topic_priority,8.2232,log-1
topic_priority,8.5381,log-1
topic_normal,9.343,log-1
topic_priority,8.6227,log-1
topic_priority,9.704,log-1
topic_normal,9.5579,log-1
topic_priority,7.9507,log-1
topic_normal,9.8954,log-1
topic_normal,8.5016,log-1
topic_priority,12.2828,log-1
topic_priority,8.645,log-1
topic_priority,8.1266,log-1
topic_normal,8.6492,log-1
topic_priority,7.8177,log-1
topic_normal,10.6657,log-1
topic_priority,8.058,log-1
topic_priority,10.7867,log-1
