Port,Time,Utilization,FileId
9154,11:48:12.964,2.0,log-1
9154,11:49:10.671,4.0,log-1
9154,11:49:10.724,4.0,log-1
9154,11:50:29.982,6.0,log-1
9154,11:50:30.142,6.0,log-1
9154,11:51:12.788,7.0,log-1
9154,11:51:12.796,7.0,log-1
9154,11:51:59.634,8.0,log-1
9154,11:51:59.646,8.0,log-1
9154,11:54:12.847,11.0,log-1
9154,11:54:56.405,12.0,log-1
9154,11:55:37.906,13.0,log-1
9154,11:55:38.164,13.0,log-1
9154,11:56:21.012,14.0,log-1
9154,11:56:21.074,14.0,log-1
9154,11:57:49.782,16.0,log-1
9154,11:57:50.149,16.0,log-1
9154,11:58:31.985,17.0,log-1
9154,11:59:23.114,18.0,log-1
9154,12:00:16.913,19.0,log-1
9154,12:00:17.437,19.0,log-1
9154,12:01:58.433,21.0,log-1
9154,12:02:53.959,22.0,log-1
9154,12:02:54.843,22.0,log-1
9154,12:03:51.002,23.0,log-1
9154,12:05:33.783,25.0,log-1
9154,12:08:20.332,28.0,log-1
9154,12:11:10.687,31.0,log-1
9154,12:13:07.037,33.0,log-1
9154,12:15:56.904,36.0,log-1
6677,11:49:54.598,5.0,log-2
6677,11:50:39.812,6.0,log-2
6677,11:51:24.177,7.0,log-2
6677,11:51:24.215,7.0,log-2
6677,11:52:09.172,8.0,log-2
6677,11:52:53.063,9.0,log-2
6677,11:54:27.352,11.0,log-2
6677,11:55:10.953,12.0,log-2
6677,11:55:52.543,13.0,log-2
6677,11:58:00.857,16.0,log-2
6677,11:58:01.294,16.0,log-2
6677,11:58:47.221,17.0,log-2
6677,12:00:32.034,19.0,log-2
6677,12:01:23.926,20.0,log-2
6677,12:02:20.675,21.0,log-2
6677,12:03:18.933,22.0,log-2
6677,12:10:04.936,29.0,log-2
6677,12:11:58.091,31.0,log-2
6677,12:12:56.260,32.0,log-2
6677,12:13:57.426,33.0,log-2
6677,12:14:55.289,34.0,log-2
6677,12:15:50.629,35.0,log-2
6076,11:48:04.210,1.0,log-3
6076,11:49:30.495,5.0,log-3
6076,11:50:05.162,6.0,log-3
6076,11:50:05.713,6.0,log-3
6076,11:50:41.783,7.0,log-3
6076,11:51:19.024,8.0,log-3
6076,11:52:34.656,10.0,log-3
6076,11:53:16.699,11.0,log-3
6076,11:53:16.703,11.0,log-3
6076,11:53:57.866,12.0,log-3
6076,11:53:57.886,12.0,log-3
6076,11:54:36.028,13.0,log-3
6076,11:54:36.082,13.0,log-3
6076,11:56:22.212,16.0,log-3
6076,11:56:22.352,16.0,log-3
6076,11:57:01.540,17.0,log-3
6076,11:57:42.173,18.0,log-3
6076,11:57:42.263,18.0,log-3
6076,11:58:19.633,19.0,log-3
6076,11:58:19.813,19.0,log-3
6076,11:59:55.365,21.0,log-3
6076,12:00:45.178,22.0,log-3
6076,12:00:45.723,22.0,log-3
6076,12:02:21.754,24.0,log-3
6076,12:03:11.339,25.0,log-3
6076,12:03:11.703,25.0,log-3
6076,12:04:03.992,26.0,log-3
6076,12:05:43.603,28.0,log-3
6076,12:06:40.328,29.0,log-3
6076,12:08:19.787,31.0,log-3
5521,11:48:58.116,4.0,log-4
5521,11:48:58.273,4.0,log-4
5521,11:48:58.463,4.0,log-4
5521,11:49:29.624,5.0,log-4
5521,11:50:03.752,6.0,log-4
5521,11:51:19.172,8.0,log-4
5521,11:51:19.217,8.0,log-4
5521,11:51:59.253,9.0,log-4
5521,11:51:59.732,9.0,log-4
5521,11:52:35.983,10.0,log-4
5521,11:54:36.108,13.0,log-4
5521,11:54:36.148,13.0,log-4
5521,11:55:10.977,14.0,log-4
5521,11:56:21.842,16.0,log-4
5521,11:56:21.885,16.0,log-4
5521,11:56:22.205,16.0,log-4
5521,11:56:22.444,16.0,log-4
5521,11:57:37.355,18.0,log-4
5521,11:58:14.067,19.0,log-4
5521,11:58:14.566,19.0,log-4
5521,11:58:14.852,19.0,log-4
5521,11:59:43.537,21.0,log-4
5521,12:00:29.387,22.0,log-4
5521,12:01:14.964,23.0,log-4
5521,12:02:56.770,25.0,log-4
5521,12:03:47.249,26.0,log-4
5521,12:05:27.695,28.0,log-4
5521,12:06:23.371,29.0,log-4
